X1.1_metaphlan	X1.2_metaphlan	X1.3_metaphlan	X1.5_metaphlan	X1.7_metaphlan	X1.8_metaphlan	X2.1_metaphlan	X2.4_metaphlan	X2.5_metaphlan	X2.6_metaphlan	X2.7_metaphlan	X2.8_metaphlan	X3.1_metaphlan	X3.2_metaphlan	X3.3_metaphlan	X3.4_metaphlan	X3.5_metaphlan	X3.6_metaphlan
GGB28957_SGB41666	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10
GGB28394_SGB40974	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0
GGB30300_SGB43264	0	0	0	0	0	0	52	0	12	0	0	0	63	0	87	306	131	0
Eubacterium_SGB102306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecalis	0	0	0	0	107	113	0	0	8	0	21	3	0	0	5	0	0	0
Guopingia_tenuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kineococcus_radiotolerans	0	0	3	0	2	0	3	1	0	2	2	2	0	1	0	3	0	0
Adlercreutzia_mucosicola	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
GGB31179_SGB44472	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	1	0
GGB31701_SGB45057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28411_SGB40993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB30471_SGB43555	0	0	0	0	0	0	17	0	12	5	6	30	0	0	0	0	0	0
Anaerotruncus_colihominis	0	0	0	0	0	0	0	0	0	0	0	0	6	0	30	92	0	0
GGB28984_SGB41697	0	0	0	1	0	0	0	345	0	337	78	0	0	0	0	0	0	0
Acetatifactor_muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28399_SGB40980	0	0	0	0	4	0	2	0	0	0	15	44	0	0	0	0	0	0
GGB28990_SGB41704	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GGB28775_SGB41428	0	0	0	0	0	0	0	236	0	310	79	0	0	0	0	0	0	0
GGB68806_SGB92816	0	0	0	0	0	0	33	0	0	0	0	7	0	0	0	0	0	0
GGB75959_SGB102469	0	0	0	0	0	0	0	3	3323	1449	288	119	148	3	1531	457	624	0
Lachnospiraceae_unclassified_SGB59780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacteriaceae_unclassified_SGB94922	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Xanthomonas_sontii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB29668_SGB42476	0	0	0	0	0	3	0	0	227	25	0	0	0	0	36	0	0	0
Dubosiella_newyorkensis	0	0	0	0	0	0	720	1670	0	1089	305	733	515	884	0	0	4342	0
GGB28876_SGB41556	0	0	0	0	0	0	358	0	83	54	0	28	0	0	0	0	0	0
GGB75086_SGB102255	0	0	0	0	0	0	58	0	233	189	140	169	0	0	2062	2292	178	0
GGB27782_SGB40196	0	0	0	0	0	0	43	670	2212	661	63	80	83	133	111	374	427	0
GGB30667_SGB43809	0	0	0	0	0	0	40	0	1164	391	0	63	0	0	0	0	0	0
Clostridium_leptum	0	0	0	0	0	0	30	0	0	0	0	6	0	0	0	0	0	0
GGB30467_SGB43551	0	0	0	0	0	0	12	0	158	111	0	0	0	0	124	209	11	0
GGB28308_SGB40878	0	0	0	0	0	0	4	6024	3801	8751	2972	0	705	1593	37	253	1124	0
Anaerocaecibacter_sp_CLA_AA_M11	0	0	0	0	0	0	2	0	676	149	0	2	0	0	0	0	0	0
GGB42332_SGB59500	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae_unclassified_SGB41613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterocloster_bolteae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GGB27876_SGB40310	0	0	0	0	0	0	0	0	0	0	0	0	523	1571	0	0	0	0
GGB14001_SGB21428	0	0	0	0	0	0	0	1706	1584	613	190	0	857	1294	2469	960	1857	0
GGB75087_SGB102254	0	0	0	0	0	0	0	0	334	95	0	0	111	84	745	370	295	0
GGB31439_SGB44769	0	0	0	0	0	0	0	0	331	886	0	0	0	0	0	0	0	0
GGB31008_SGB44264	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
GGB28456_SGB41039	0	0	0	0	0	0	0	0	10	0	53	136	0	0	0	0	0	0
GGB28993_SGB41708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB30620_SGB43754	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0
GGB3171_SGB4185	0	0	0	0	0	0	0	0	60	157	362	133	0	0	0	0	0	0
GGB30290_SGB43252	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
GGB30451_SGB43508	0	0	0	0	0	0	0	11	6	21	43	52	40	2	4	7	4	0
GGB29002_SGB41718	0	0	0	0	0	0	0	21	0	15	10	5	0	0	0	0	0	0
Lachnospiraceae_bacterium_3_1	0	0	0	0	0	0	0	0	6	0	0	0	10	0	0	3	0	0
Fumia_xinanensis	0	0	0	0	0	0	0	0	11	4	0	0	0	2	0	0	0	0
Leptogranulimonas_caecicola	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
GGB28912_SGB41606	0	0	0	0	0	0	0	0	2	0	0	0	0	0	54	30	0	0
GGB31828_SGB102411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB31835_SGB45211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB30470_SGB43554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28895_SGB41576	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0
GGB27478_SGB39772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium_1XD8_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acutalibacter_muris	0	0	0	0	0	0	0	0	114	0	0	0	111	11	0	0	0	0
GGB42544_SGB59739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB27778_SGB40192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB42900_SGB60120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB75975_SGB102453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB31850_SGB45229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB30444_SGB43493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB42057_SGB59197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB25052_SGB36974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28785_SGB41438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28387_SGB40967	0	0	0	0	0	0	0	0	32	43	0	0	0	0	0	0	0	0
GGB25158_SGB37086	0	0	0	0	0	0	0	0	4	49	0	0	0	0	0	0	0	0
GGB31822_SGB45197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28836_SGB41497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Arthromitus_sp_SFB_mouse	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
GGB28951_SGB102295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28908_SGB41601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28395_SGB40976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB29003_SGB41719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28358_SGB40936	0	0	0	0	0	0	0	2547	196	514	192	0	390	0	0	0	11	0
Lachnospiraceae_bacterium_MD329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28409_SGB40991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28787_SGB41440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiaceae_unclassified_SGB41663	0	0	0	0	0	0	0	0	5	0	34	51	1	0	0	0	0	12
Alistipes_sp_DSM_112343	0	0	0	0	0	0	0	0	0	0	0	0	0	208	414	937	132	882
Lactobacillus_taiwanensis	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
GGB30142_SGB43067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB30470_SGB94994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoflavonifractor_sp_524_17	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0
GGB30090_SGB43002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrionaceae_bacterium	0	0	0	0	0	0	0	228	0	372	109	0	0	0	0	0	0	0
Duncaniella_dubosii	0	0	0	0	0	0	0	113	0	34	7	0	0	0	0	0	0	0
GGB47127_SGB65053	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0
GGB28761_SGB41409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB9819_SGB40890	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
GGB47462_SGB65425	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
GGB70518_SGB94950	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Faecalicatena_contorta	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
GGB28905_SGB41598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frisingicoccus_caecimuris	0	0	0	0	0	0	0	0	0	0	93	21	0	0	0	0	0	0
Acetatifactor_SGB102258	0	0	0	0	0	0	0	0	0	0	33	41	0	0	0	0	0	0
GGB28851_SGB41518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB9062_SGB13981	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	753	0
Bacteroides_uniformis	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	203	0
GGB27480_SGB39776	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	8	0
Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	99	0
GGB28380_SGB40960	0	0	0	0	0	0	0	0	0	0	0	0	33	6	0	0	0	0
GGB29468_SGB42247	0	0	0	0	0	0	0	0	0	0	0	0	23	1490	0	158	11	1555
GGB45513_SGB63185	0	0	0	0	0	0	0	0	0	0	0	0	19	5	33	8	17	0
GGB30087_SGB42999	0	0	0	0	0	0	0	0	0	0	0	0	10	0	16	52	0	0
GGB3793_SGB5158	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	21	0
Bacteroides_xylanisolvens	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8	0
Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0
Psychrobacter_pasteurii	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0
Paenalcaligenes_hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruthenibacterium_lactatiformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB3793_SGB41500	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	179
GGB75073_SGB102159	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
GGB75900_SGB102322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	410	17	0
GGB28760_SGB41407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	65	0	0
Thermus_scotoductus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0
Mammaliicoccus_sciuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Staphylococcus_saprophyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Jeotgalicoccus_halotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
GGB30452_SGB43511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0
Stutzerimonas_kunmingensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_producta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caniella_SGB105119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria_subflava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB47127_SGB65054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria_unclassified_SGB41628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacterium_D16_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB75109_SGB102238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
GGB75053_SGB43494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB28776_SGB41429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruoffia_tabacinasalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus_mitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GGB31440_SGB94819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
